,Frame,Ball Location,PlayerDicts
178,178,[[2360.6042 4644.8535]],"{0: {'kitColor': array([163.81648936, 164.78191489, 142.67021277]), 'location': array([7085.341, 3831.355], dtype=float32)}, 1: {'kitColor': array([0., 0., 0.]), 'location': array([5827.384 , 5203.8584], dtype=float32)}, 2: {'kitColor': array([153.26848875, 145.45498392, 135.92604502]), 'location': array([5448.1597, 6762.1313], dtype=float32)}, 3: {'kitColor': array([163.7283105 , 162.08675799, 141.8173516 ]), 'location': array([6961.0513, 4928.5293], dtype=float32)}, 4: {'kitColor': array([184.95744681, 190.43971631, 177.90070922]), 'location': array([4536.051 , 1200.9369], dtype=float32)}, 5: {'kitColor': array([ 0., 37.,  9.]), 'location': array([6520.467 , 6009.1396], dtype=float32)}, 6: {'kitColor': array([ 0., 34.,  7.]), 'location': array([4240.546, 5347.559], dtype=float32)}, 7: {'kitColor': array([166.92043011, 163.95483871, 157.28172043]), 'location': array([3901.0168, 5999.4253], dtype=float32)}, 8: {'kitColor': array([0., 0., 0.]), 'location': array([5750.8237, 2532.3237], dtype=float32)}, 9: {'kitColor': array([0., 0., 0.]), 'location': array([5662.3   , 3672.1467], dtype=float32)}, 10: {'kitColor': array([189.05617978, 189.91385768, 174.10486891]), 'location': array([5439.0146, 3596.2798], dtype=float32)}, 11: {'kitColor': array([0., 0., 0.]), 'location': array([4478.295, 3851.197], dtype=float32)}, 12: {'kitColor': array([ 95.16666667, 137.16666667, 124.83333333]), 'location': array([6747.418, 4962.231], dtype=float32)}, 13: {'kitColor': array([197.72018349, 195.82110092, 180.10091743]), 'location': array([5590.652 , 5095.1455], dtype=float32)}, 14: {'kitColor': array([169.8557047 , 164.79194631, 150.75167785]), 'location': array([6957.542 , 3437.3325], dtype=float32)}, 15: {'kitColor': array([191.40740741, 194.17037037, 184.57777778]), 'location': array([4077.2593, 4177.532 ], dtype=float32)}, 16: {'kitColor': array([148.27272727, 166.12121212, 152.72727273]), 'location': array([6881.0796, 4098.193 ], dtype=float32)}, 17: {'kitColor': array([0., 0., 0.]), 'location': array([6877.283 , 2053.4783], dtype=float32)}, 18: {'kitColor': array([0., 0., 0.]), 'location': array([6912.286, 3204.66 ], dtype=float32)}, 19: {'kitColor': array([142.16578947, 139.37368421, 196.23157895]), 'location': array([7203.469  ,  420.43408], dtype=float32)}, 20: {'kitColor': array([ 99.93680297, 118.16728625, 112.59107807]), 'location': array([2250.8015, 4576.6284], dtype=float32)}}"
179,179,[[2367.8933 4647.5107]],"{0: {'kitColor': array([167.00950119, 164.50118765, 144.41805226]), 'location': array([6956.34 , 4935.088], dtype=float32)}, 1: {'kitColor': array([0., 0., 0.]), 'location': array([5822.9717, 5209.577 ], dtype=float32)}, 2: {'kitColor': array([0., 0., 0.]), 'location': array([6737.907 , 4969.4287], dtype=float32)}, 3: {'kitColor': array([153.18500797, 145.62041467, 136.67464115]), 'location': array([5446.5044, 6765.2886], dtype=float32)}, 4: {'kitColor': array([164.54303279, 160.56147541, 154.62090164]), 'location': array([3899.9229, 6003.334 ], dtype=float32)}, 5: {'kitColor': array([ 0.66666667, 34.        , 11.        ]), 'location': array([4242.4385, 5351.618 ], dtype=float32)}, 6: {'kitColor': array([0., 0., 0.]), 'location': array([4475.9272, 3843.4111], dtype=float32)}, 7: {'kitColor': array([ 0., 37.,  9.]), 'location': array([6516.4434, 6013.286 ], dtype=float32)}, 8: {'kitColor': array([0., 0., 0.]), 'location': array([5740.2886, 2526.365 ], dtype=float32)}, 9: {'kitColor': array([192.48529412, 193.51470588, 181.75      ]), 'location': array([4528.996 , 1215.2191], dtype=float32)}, 10: {'kitColor': array([166.69444444, 167.47777778, 145.83888889]), 'location': array([7081.495 , 3828.0715], dtype=float32)}, 11: {'kitColor': array([0., 0., 0.]), 'location': array([5656.651 , 3666.6733], dtype=float32)}, 12: {'kitColor': array([199.67821782, 197.40594059, 182.00247525]), 'location': array([5585.1157, 5101.178 ], dtype=float32)}, 13: {'kitColor': array([191.73662551, 193.43621399, 177.29218107]), 'location': array([5431.5303, 3590.5366], dtype=float32)}, 14: {'kitColor': array([0., 0., 0.]), 'location': array([6873.2393, 2029.4191], dtype=float32)}, 15: {'kitColor': array([188.22344322, 192.17948718, 182.63736264]), 'location': array([4075.9937, 4183.5034], dtype=float32)}, 16: {'kitColor': array([147.25925926, 165.12962963, 151.88888889]), 'location': array([6868.47  , 4095.9038], dtype=float32)}, 17: {'kitColor': array([141.56117021, 137.13031915, 188.58244681]), 'location': array([7194.975,  444.698], dtype=float32)}, 18: {'kitColor': array([169.07167235, 164.6552901 , 150.6109215 ]), 'location': array([6941.762, 3464.026], dtype=float32)}, 19: {'kitColor': array([0., 0., 0.]), 'location': array([6905.096 , 3201.3323], dtype=float32)}}"
180,180,[[2371.7126 4643.993 ]],"{0: {'kitColor': array([0., 0., 0.]), 'location': array([6723.9585, 4965.076 ], dtype=float32)}, 1: {'kitColor': array([165.23039216, 162.54411765, 142.29411765]), 'location': array([6953.5967, 4899.92  ], dtype=float32)}, 2: {'kitColor': array([150.7208589 , 144.05521472, 134.64417178]), 'location': array([5443.9707, 6765.3125], dtype=float32)}, 3: {'kitColor': array([0., 0., 0.]), 'location': array([5815.994 , 5186.4873], dtype=float32)}, 4: {'kitColor': array([ 0.75, 31.5 ,  8.5 ]), 'location': array([4235.5786, 5329.138 ], dtype=float32)}, 5: {'kitColor': array([167.46185567, 162.8371134 , 157.30721649]), 'location': array([3894.7559, 6003.144 ], dtype=float32)}, 6: {'kitColor': array([195.57487923, 194.96618357, 179.03623188]), 'location': array([5577.1577, 5077.322 ], dtype=float32)}, 7: {'kitColor': array([140.48275862, 160.75862069, 147.87931034]), 'location': array([6859.5244, 4077.4084], dtype=float32)}, 8: {'kitColor': array([0., 0., 0.]), 'location': array([6512.5615, 6009.7734], dtype=float32)}, 9: {'kitColor': array([0., 0., 0.]), 'location': array([6858.013 , 2004.7106], dtype=float32)}, 10: {'kitColor': array([171.909375, 172.553125, 151.696875]), 'location': array([7077.258, 3794.858], dtype=float32)}, 11: {'kitColor': array([190.78723404, 192.11914894, 175.25106383]), 'location': array([5420.6064, 3585.4604], dtype=float32)}, 12: {'kitColor': array([0., 0., 0.]), 'location': array([4469.8555, 3823.6414], dtype=float32)}, 13: {'kitColor': array([0., 0., 0.]), 'location': array([5648.409 , 3631.7834], dtype=float32)}, 14: {'kitColor': array([186.39312977, 189.69465649, 180.3740458 ]), 'location': array([4069.1797, 4165.364 ], dtype=float32)}, 15: {'kitColor': array([0., 0., 0.]), 'location': array([5722.7246, 2483.94  ], dtype=float32)}, 16: {'kitColor': array([185.4       , 193.07407407, 180.38518519]), 'location': array([4507.953 , 1212.8179], dtype=float32)}, 17: {'kitColor': array([128.43490305, 124.40720222, 183.75900277]), 'location': array([7182.899 ,  416.5536], dtype=float32)}, 18: {'kitColor': array([0., 0., 0.]), 'location': array([6903.031 , 3163.3372], dtype=float32)}, 19: {'kitColor': array([164.53225806, 159.98709677, 147.30322581]), 'location': array([6929.7524, 3457.9214], dtype=float32)}}"
181,181,[[2377.37  4646.588]],"{0: {'kitColor': array([0., 0., 0.]), 'location': array([6715.3447, 4953.388 ], dtype=float32)}, 1: {'kitColor': array([0., 0., 0.]), 'location': array([6509.008, 6007.493], dtype=float32)}, 2: {'kitColor': array([0., 0., 0.]), 'location': array([5809.093, 5173.439], dtype=float32)}, 3: {'kitColor': array([ 0. , 34.5,  3.5]), 'location': array([4236.5054, 5332.4077], dtype=float32)}, 4: {'kitColor': array([0., 0., 0.]), 'location': array([6853.0815, 1970.6396], dtype=float32)}, 5: {'kitColor': array([149.68338558, 143.59717868, 135.17084639]), 'location': array([5439.2715, 6761.1885], dtype=float32)}, 6: {'kitColor': array([167.14460285, 161.80855397, 156.57026477]), 'location': array([3898.0583, 6012.6396], dtype=float32)}, 7: {'kitColor': array([151.66666667, 176.5       , 158.75      ]), 'location': array([6851.127 , 4073.3845], dtype=float32)}, 8: {'kitColor': array([170.94836957, 168.88586957, 149.60869565]), 'location': array([7065.455 , 3816.8042], dtype=float32)}, 9: {'kitColor': array([169.52419355, 166.40053763, 146.69623656]), 'location': array([6948.154 , 4907.2373], dtype=float32)}, 10: {'kitColor': array([0., 0., 0.]), 'location': array([5635.5767, 3639.7673], dtype=float32)}, 11: {'kitColor': array([0., 0., 0.]), 'location': array([4474.4043, 3843.5735], dtype=float32)}, 12: {'kitColor': array([201.54619565, 199.66304348, 184.48641304]), 'location': array([5571.532, 5073.136], dtype=float32)}, 13: {'kitColor': array([189.8452381 , 193.45634921, 183.5952381 ]), 'location': array([4069.7634, 4170.3447], dtype=float32)}, 14: {'kitColor': array([0., 0., 0.]), 'location': array([5714.132 , 2471.7134], dtype=float32)}, 15: {'kitColor': array([189.04132231, 197.04132231, 184.34710744]), 'location': array([4493.6113, 1243.4169], dtype=float32)}, 16: {'kitColor': array([189.90540541, 192.09459459, 175.05405405]), 'location': array([5408.473 , 3578.1038], dtype=float32)}, 17: {'kitColor': array([127.42382271, 122.88919668, 184.92520776]), 'location': array([7181.292  ,  418.80746], dtype=float32)}, 18: {'kitColor': array([0., 0., 0.]), 'location': array([6901.5806, 3139.6206], dtype=float32)}, 19: {'kitColor': array([165.11923077, 160.37692308, 147.38461538]), 'location': array([6923.205 , 3437.1672], dtype=float32)}}"
182,182,[[2373.6353 4646.057 ]],"{0: {'kitColor': array([0., 0., 0.]), 'location': array([6715.14  , 4937.1807], dtype=float32)}, 1: {'kitColor': array([166.75048356, 162.20309478, 156.28046422]), 'location': array([3888.9587, 6021.58  ], dtype=float32)}, 2: {'kitColor': array([120.72727273, 135.36363636, 120.54545455]), 'location': array([6843.3755, 4052.2632], dtype=float32)}, 3: {'kitColor': array([170.64945652, 170.18478261, 150.55706522]), 'location': array([7065.234, 3806.318], dtype=float32)}, 4: {'kitColor': array([0., 0., 0.]), 'location': array([5804.485 , 5147.1074], dtype=float32)}, 5: {'kitColor': array([147.20433437, 142.59133127, 134.03250774]), 'location': array([5435.752, 6764.128], dtype=float32)}, 6: {'kitColor': array([ 0., 37.,  6.]), 'location': array([4235.3525, 5342.5107], dtype=float32)}, 7: {'kitColor': array([0., 0., 0.]), 'location': array([6512.0903, 5983.1187], dtype=float32)}, 8: {'kitColor': array([0., 0., 0.]), 'location': array([4467.368, 3830.646], dtype=float32)}, 9: {'kitColor': array([168.84536082, 165.40463918, 145.43298969]), 'location': array([6949.6494, 4910.4155], dtype=float32)}, 10: {'kitColor': array([190.3375    , 193.65833333, 184.04166667]), 'location': array([4052.2861, 4145.0117], dtype=float32)}, 11: {'kitColor': array([194.17121588, 194.63027295, 179.49875931]), 'location': array([5564.7666, 5075.7114], dtype=float32)}, 12: {'kitColor': array([0., 0., 0.]), 'location': array([5699.782, 2494.635], dtype=float32)}, 13: {'kitColor': array([0., 0., 0.]), 'location': array([5621.86  , 3628.3828], dtype=float32)}, 14: {'kitColor': array([0., 0., 0.]), 'location': array([6845.0483, 1993.7656], dtype=float32)}, 15: {'kitColor': array([191.76076555, 195.02870813, 176.91866029]), 'location': array([5395.06  , 3566.2063], dtype=float32)}, 16: {'kitColor': array([0., 0., 0.]), 'location': array([6895.7305, 3142.4062], dtype=float32)}, 17: {'kitColor': array([162.61788618, 159.98373984, 143.70731707]), 'location': array([6926.756 , 3395.3235], dtype=float32)}, 18: {'kitColor': array([184.76923077, 190.76153846, 177.99230769]), 'location': array([4471.295 , 1275.8129], dtype=float32)}, 19: {'kitColor': array([122.23976608, 119.50877193, 186.73391813]), 'location': array([7180.04   ,  394.26743], dtype=float32)}}"
183,183,[[2376.9487 4646.0605]],"{0: {'kitColor': array([168.66088632, 163.4238921 , 158.49710983]), 'location': array([3891.5579, 6030.5444], dtype=float32)}, 1: {'kitColor': array([0., 0., 0.]), 'location': array([6707.5493, 4929.288 ], dtype=float32)}, 2: {'kitColor': array([0., 0., 0.]), 'location': array([5798.3257, 5129.357 ], dtype=float32)}, 3: {'kitColor': array([120.77777778, 137.66666667, 123.33333333]), 'location': array([6829.561 , 4030.8127], dtype=float32)}, 4: {'kitColor': array([145.72916667, 141.80803571, 133.66071429]), 'location': array([5433.058 , 6763.3906], dtype=float32)}, 5: {'kitColor': array([ 5., 35.,  8.]), 'location': array([4235.5513, 5333.319 ], dtype=float32)}, 6: {'kitColor': array([0., 0., 0.]), 'location': array([4462.448 , 3816.9646], dtype=float32)}, 7: {'kitColor': array([197.21628499, 196.21628499, 181.44274809]), 'location': array([5558.1304, 5057.4014], dtype=float32)}, 8: {'kitColor': array([172.90450928, 170.81432361, 152.64456233]), 'location': array([7052.5776, 3809.7332], dtype=float32)}, 9: {'kitColor': array([0., 0., 0.]), 'location': array([6505.812 , 5976.3203], dtype=float32)}, 10: {'kitColor': array([189.60775862, 193.75862069, 184.78448276]), 'location': array([4042.9185, 4132.7383], dtype=float32)}, 11: {'kitColor': array([171.28607595, 166.85822785, 147.52405063]), 'location': array([6940.3965, 4912.435 ], dtype=float32)}, 12: {'kitColor': array([0., 0., 0.]), 'location': array([5609.2246, 3645.9226], dtype=float32)}, 13: {'kitColor': array([190.74528302, 193.3490566 , 175.45754717]), 'location': array([5389.9395, 3552.69  ], dtype=float32)}, 14: {'kitColor': array([0., 0., 0.]), 'location': array([6890.105 , 3129.4097], dtype=float32)}, 15: {'kitColor': array([0., 0., 0.]), 'location': array([5682.886 , 2477.7446], dtype=float32)}, 16: {'kitColor': array([192.17699115, 197.76106195, 185.07964602]), 'location': array([4456.3164, 1273.48  ], dtype=float32)}, 17: {'kitColor': array([0., 0., 0.]), 'location': array([6837.843 , 1975.6982], dtype=float32)}, 18: {'kitColor': array([174.26595745, 171.11702128, 155.36170213]), 'location': array([6914.262 , 3384.1096], dtype=float32)}, 19: {'kitColor': array([120.68975069, 116.98614958, 186.89196676]), 'location': array([7162.9307,  422.7179], dtype=float32)}}"
184,184,[],"{0: {'kitColor': array([142.58748222, 139.40113798, 130.91607397]), 'location': array([5429.41 , 6763.787], dtype=float32)}, 1: {'kitColor': array([0., 0., 0.]), 'location': array([5795.8584, 5120.047 ], dtype=float32)}, 2: {'kitColor': array([ 1., 35.,  9.]), 'location': array([4236.92  , 5322.8374], dtype=float32)}, 3: {'kitColor': array([193.3510101 , 193.44191919, 177.3989899 ]), 'location': array([5554.023, 5027.593], dtype=float32)}, 4: {'kitColor': array([0., 0., 0.]), 'location': array([6701.72  , 4920.5996], dtype=float32)}, 5: {'kitColor': array([164.94802867, 161.38888889, 156.18458781]), 'location': array([3894.5989, 6038.272 ], dtype=float32)}, 6: {'kitColor': array([119.22222222, 135.83333333, 120.38888889]), 'location': array([6826.612 , 4018.9258], dtype=float32)}, 7: {'kitColor': array([174.50985222, 172.69704433, 154.01724138]), 'location': array([7047.9326, 3823.6018], dtype=float32)}, 8: {'kitColor': array([0., 0., 0.]), 'location': array([6501.531 , 5990.9805], dtype=float32)}, 9: {'kitColor': array([0., 0., 0.]), 'location': array([4462.3887, 3817.092 ], dtype=float32)}, 10: {'kitColor': array([172.30366492, 168.03403141, 148.30104712]), 'location': array([6936.438, 4913.207], dtype=float32)}, 11: {'kitColor': array([190.25225225, 190.81081081, 174.04054054]), 'location': array([5387.095 , 3553.1902], dtype=float32)}, 12: {'kitColor': array([181.664, 186.08 , 176.156]), 'location': array([4033.543 , 4119.8057], dtype=float32)}, 13: {'kitColor': array([0., 0., 0.]), 'location': array([5606.8022, 3601.9402], dtype=float32)}, 14: {'kitColor': array([0., 0., 0.]), 'location': array([5666.131, 2479.495], dtype=float32)}, 15: {'kitColor': array([185.50735294, 190.63970588, 177.96323529]), 'location': array([4442.5107, 1274.3851], dtype=float32)}, 16: {'kitColor': array([0., 0., 0.]), 'location': array([6885.3726, 3114.483 ], dtype=float32)}, 17: {'kitColor': array([0., 0., 0.]), 'location': array([6832.5005, 1996.5455], dtype=float32)}, 18: {'kitColor': array([126.28703704, 122.77777778, 187.14197531]), 'location': array([7164.971  ,  395.02057], dtype=float32)}, 19: {'kitColor': array([181.73410405, 179.49132948, 162.70520231]), 'location': array([6904.4194, 3400.1611], dtype=float32)}}"
185,185,[],"{0: {'kitColor': array([142.68733154, 138.67789757, 128.54851752]), 'location': array([5421.9136, 6764.7456], dtype=float32)}, 1: {'kitColor': array([0., 0., 0.]), 'location': array([5785.5254, 5121.4316], dtype=float32)}, 2: {'kitColor': array([164.75179856, 159.91007194, 155.53057554]), 'location': array([3891.7373, 6044.5293], dtype=float32)}, 3: {'kitColor': array([196.1023622 , 195.18897638, 179.86614173]), 'location': array([5542.346 , 5008.3535], dtype=float32)}, 4: {'kitColor': array([0., 0., 0.]), 'location': array([4233.1606, 5321.2627], dtype=float32)}, 5: {'kitColor': array([0., 0., 0.]), 'location': array([5653.6104, 2461.3933], dtype=float32)}, 6: {'kitColor': array([173.97799511, 172.57457213, 153.72371638]), 'location': array([7040.0854, 3812.749 ], dtype=float32)}, 7: {'kitColor': array([ 99.375, 144.875, 131.875]), 'location': array([6688.075, 4923.597], dtype=float32)}, 8: {'kitColor': array([0., 0., 0.]), 'location': array([6492.51 , 5993.462], dtype=float32)}, 9: {'kitColor': array([196.61926606, 195.05045872, 179.25688073]), 'location': array([5375.4683, 3553.9817], dtype=float32)}, 10: {'kitColor': array([117.75      , 135.41666667, 121.41666667]), 'location': array([6815.085 , 4008.8618], dtype=float32)}, 11: {'kitColor': array([171.91  , 166.425 , 147.4675]), 'location': array([6924.5073, 4916.246 ], dtype=float32)}, 12: {'kitColor': array([0., 0., 0.]), 'location': array([5594.847 , 3588.0845], dtype=float32)}, 13: {'kitColor': array([0., 0., 0.]), 'location': array([4458.479 , 3830.9358], dtype=float32)}, 14: {'kitColor': array([189.21929825, 192.99561404, 183.13157895]), 'location': array([4026.8245, 4118.524 ], dtype=float32)}, 15: {'kitColor': array([192.2295082 , 197.90983607, 185.05737705]), 'location': array([4423.029 , 1249.5948], dtype=float32)}, 16: {'kitColor': array([0., 0., 0.]), 'location': array([6878.4507, 3116.2463], dtype=float32)}, 17: {'kitColor': array([0., 0., 0.]), 'location': array([6817.225 , 1978.6465], dtype=float32)}, 18: {'kitColor': array([165.50239234, 163.77990431, 147.79425837]), 'location': array([6887.1865, 3446.877 ], dtype=float32)}, 19: {'kitColor': array([133.50657895, 130.52631579, 187.96710526]), 'location': array([7156.858  ,  424.50372], dtype=float32)}}"
186,186,[],"{0: {'kitColor': array([148.6367713 , 143.35276532, 133.53512706]), 'location': array([5419.016 , 6759.9316], dtype=float32)}, 1: {'kitColor': array([198.41576087, 197.57065217, 181.8423913 ]), 'location': array([5531.589 , 4997.8916], dtype=float32)}, 2: {'kitColor': array([171.3525, 163.8675, 145.7525]), 'location': array([6919.6826, 4915.561 ], dtype=float32)}, 3: {'kitColor': array([190.67982456, 189.82017544, 173.71929825]), 'location': array([5367.6455, 3553.1829], dtype=float32)}, 4: {'kitColor': array([0., 0., 0.]), 'location': array([6487.102, 5987.657], dtype=float32)}, 5: {'kitColor': array([174.14841849, 173.83454988, 154.01703163]), 'location': array([7031.595 , 3811.1619], dtype=float32)}, 6: {'kitColor': array([163.98239437, 160.36267606, 154.93838028]), 'location': array([3891.228 , 6042.6196], dtype=float32)}, 7: {'kitColor': array([0., 0., 0.]), 'location': array([4231.1943, 5309.347 ], dtype=float32)}, 8: {'kitColor': array([0., 0., 0.]), 'location': array([5775.894, 5121.29 ], dtype=float32)}, 9: {'kitColor': array([0., 0., 0.]), 'location': array([5642.288 , 2461.5198], dtype=float32)}, 10: {'kitColor': array([0., 0., 0.]), 'location': array([5580.561 , 3602.8127], dtype=float32)}, 11: {'kitColor': array([ 91.1875, 137.1875, 125.6875]), 'location': array([6675.419 , 4914.2393], dtype=float32)}, 12: {'kitColor': array([0., 0., 0.]), 'location': array([4442.2324, 3801.7075], dtype=float32)}, 13: {'kitColor': array([105.92307692, 133.53846154, 124.30769231]), 'location': array([6803.4326, 4020.492 ], dtype=float32)}, 14: {'kitColor': array([194.74107143, 200.91964286, 188.1875    ]), 'location': array([4398.842, 1203.95 ], dtype=float32)}, 15: {'kitColor': array([184.076, 188.352, 179.408]), 'location': array([4018.5393, 4118.3223], dtype=float32)}, 16: {'kitColor': array([0., 0., 0.]), 'location': array([6805.897 , 1957.0236], dtype=float32)}, 17: {'kitColor': array([0., 0., 0.]), 'location': array([6867.9517, 3114.5857], dtype=float32)}, 18: {'kitColor': array([141.0037037 , 135.55185185, 189.39259259]), 'location': array([7143.498  ,  397.25302], dtype=float32)}, 19: {'kitColor': array([172.59562842, 165.04918033, 151.66666667]), 'location': array([6877.4277, 3459.71  ], dtype=float32)}, 20: {'kitColor': array([ 97.58778626, 115.72137405, 110.6870229 ]), 'location': array([2262.835 , 4587.2173], dtype=float32)}}"
187,187,[],"{0: {'kitColor': array([189.67579909, 189.55707763, 173.37899543]), 'location': array([5364.493 , 3554.2302], dtype=float32)}, 1: {'kitColor': array([ 0., 30.,  0.]), 'location': array([4235.9805, 5301.8784], dtype=float32)}, 2: {'kitColor': array([172.68656716, 173.04975124, 153.12189055]), 'location': array([7029.387, 3783.858], dtype=float32)}, 3: {'kitColor': array([149.06315789, 145.9443609 , 136.09323308]), 'location': array([5419.274 , 6762.4473], dtype=float32)}, 4: {'kitColor': array([169.62409639, 162.88433735, 144.8313253 ]), 'location': array([6912.4927, 4915.36  ], dtype=float32)}, 5: {'kitColor': array([0., 0., 0.]), 'location': array([5773.6997, 5112.6064], dtype=float32)}, 6: {'kitColor': array([161.47483221, 158.74161074, 153.17449664]), 'location': array([3895.8992, 6046.866 ], dtype=float32)}, 7: {'kitColor': array([199.52419355, 198.49462366, 183.0483871 ]), 'location': array([5525.3335, 4999.988 ], dtype=float32)}, 8: {'kitColor': array([0., 0., 0.]), 'location': array([6480.548, 5995.496], dtype=float32)}, 9: {'kitColor': array([0., 0., 0.]), 'location': array([5629.477, 2462.867], dtype=float32)}, 10: {'kitColor': array([184.792, 193.112, 179.872]), 'location': array([4391.6587, 1204.5774], dtype=float32)}, 11: {'kitColor': array([0., 0., 0.]), 'location': array([4441.194 , 3788.5918], dtype=float32)}, 12: {'kitColor': array([104.65517241, 121.65517241, 104.51724138]), 'location': array([6795.0957, 4020.5505], dtype=float32)}, 13: {'kitColor': array([ 98.5, 146.5, 132.5]), 'location': array([6664.5527, 4915.045 ], dtype=float32)}, 14: {'kitColor': array([0., 0., 0.]), 'location': array([5577.783 , 3573.6912], dtype=float32)}, 15: {'kitColor': array([182.14341085, 187.53100775, 177.86046512]), 'location': array([4020.3738, 4134.925 ], dtype=float32)}, 16: {'kitColor': array([0., 0., 0.]), 'location': array([6792.4688, 1978.0077], dtype=float32)}, 17: {'kitColor': array([139.33006536, 133.5751634 , 188.22222222]), 'location': array([7135.5884 ,  397.88626], dtype=float32)}, 18: {'kitColor': array([0., 0., 0.]), 'location': array([6863.3237, 3114.1282], dtype=float32)}, 19: {'kitColor': array([102.01680672, 119.50840336, 114.3487395 ]), 'location': array([2263.8838, 4578.4277], dtype=float32)}}"
188,188,[],"{0: {'kitColor': array([174.05107527, 173.54032258, 153.57795699]), 'location': array([7035.502 , 3758.3354], dtype=float32)}, 1: {'kitColor': array([172.15776699, 164.91504854, 146.78398058]), 'location': array([6911.062, 4917.293], dtype=float32)}, 2: {'kitColor': array([ 0. , 35.5,  4. ]), 'location': array([4234.4272, 5307.1123], dtype=float32)}, 3: {'kitColor': array([147.20926756, 144.95216741, 133.74289985]), 'location': array([5412.7505, 6749.8213], dtype=float32)}, 4: {'kitColor': array([159.65661642, 158.1440536 , 151.35845896]), 'location': array([3889.572 , 6049.6484], dtype=float32)}, 5: {'kitColor': array([197.08393285, 194.46043165, 179.63788969]), 'location': array([5516.57, 4989.07], dtype=float32)}, 6: {'kitColor': array([0., 0., 0.]), 'location': array([6475.2603, 5990.3413], dtype=float32)}, 7: {'kitColor': array([0., 0., 0.]), 'location': array([5770.959 , 5111.7534], dtype=float32)}, 8: {'kitColor': array([190.63114754, 196.08196721, 183.72131148]), 'location': array([4379.6055, 1204.9182], dtype=float32)}, 9: {'kitColor': array([0., 0., 0.]), 'location': array([5622.2266, 2404.992 ], dtype=float32)}, 10: {'kitColor': array([0., 0., 0.]), 'location': array([6660.4204, 4916.728 ], dtype=float32)}, 11: {'kitColor': array([0., 0., 0.]), 'location': array([5574.0894, 3587.853 ], dtype=float32)}, 12: {'kitColor': array([189.28571429, 188.85714286, 172.1047619 ]), 'location': array([5360.2046, 3537.8218], dtype=float32)}, 13: {'kitColor': array([0., 0., 0.]), 'location': array([6792.179 , 1979.4609], dtype=float32)}, 14: {'kitColor': array([0., 0., 0.]), 'location': array([4428.8164, 3786.5042], dtype=float32)}, 15: {'kitColor': array([179.66920152, 184.78707224, 175.31178707]), 'location': array([4013.8118, 4131.0044], dtype=float32)}, 16: {'kitColor': array([136.79320988, 132.20987654, 184.99074074]), 'location': array([7139.431 ,  400.1753], dtype=float32)}, 17: {'kitColor': array([0., 0., 0.]), 'location': array([6866.761 , 3115.0483], dtype=float32)}, 18: {'kitColor': array([103.02690583, 122.43497758, 116.41704036]), 'location': array([2258.3723, 4570.285 ], dtype=float32)}, 19: {'kitColor': array([100.56666667, 115.33333333, 100.33333333]), 'location': array([6792.869 , 4009.4897], dtype=float32)}}"
189,189,[],"{0: {'kitColor': array([ 0. , 36. ,  7.5]), 'location': array([4239.6743, 5305.5215], dtype=float32)}, 1: {'kitColor': array([159.92529711, 157.86417657, 151.85908319]), 'location': array([3889.926 , 6039.0337], dtype=float32)}, 2: {'kitColor': array([147.95331325, 145.34638554, 134.625     ]), 'location': array([5407.06  , 6733.6245], dtype=float32)}, 3: {'kitColor': array([173.94402036, 165.59796438, 147.71755725]), 'location': array([6904.2197, 4908.137 ], dtype=float32)}, 4: {'kitColor': array([0., 0., 0.]), 'location': array([6466.732, 5987.996], dtype=float32)}, 5: {'kitColor': array([0., 0., 0.]), 'location': array([6778.3735, 1962.4333], dtype=float32)}, 6: {'kitColor': array([ 98.91666667, 146.58333333, 134.25      ]), 'location': array([6649.671, 4898.247], dtype=float32)}, 7: {'kitColor': array([181.6744186 , 189.50387597, 176.7751938 ]), 'location': array([4359.6553, 1176.9036], dtype=float32)}, 8: {'kitColor': array([0., 0., 0.]), 'location': array([5764.766, 5102.162], dtype=float32)}, 9: {'kitColor': array([198.44941176, 196.08941176, 181.12705882]), 'location': array([5503.1797, 4980.3213], dtype=float32)}, 10: {'kitColor': array([0., 0., 0.]), 'location': array([5611.5454, 2387.4648], dtype=float32)}, 11: {'kitColor': array([174.5813253 , 173.32228916, 153.78614458]), 'location': array([7024.861, 3748.297], dtype=float32)}, 12: {'kitColor': array([0., 0., 0.]), 'location': array([5570.1313, 3589.6418], dtype=float32)}, 13: {'kitColor': array([180.65779468, 185.64258555, 175.7338403 ]), 'location': array([4008.7712, 4117.7017], dtype=float32)}, 14: {'kitColor': array([177.05150215, 176.06866953, 159.15021459]), 'location': array([5354.7954, 3539.6528], dtype=float32)}, 15: {'kitColor': array([0., 0., 0.]), 'location': array([4417.333 , 3758.1323], dtype=float32)}, 16: {'kitColor': array([128.1871345 , 124.01461988, 180.97368421]), 'location': array([7132.272  ,  400.55307], dtype=float32)}, 17: {'kitColor': array([108.08955224, 116.71641791,  97.74626866]), 'location': array([6773.075, 4013.527], dtype=float32)}, 18: {'kitColor': array([0., 0., 0.]), 'location': array([6858.3013, 3118.4182], dtype=float32)}, 19: {'kitColor': array([106.33035714, 124.87053571, 118.75      ]), 'location': array([2270.0842, 4582.0986], dtype=float32)}, 20: {'kitColor': array([172.12037037, 165.82407407, 153.60648148]), 'location': array([6857.4824, 3521.7798], dtype=float32)}}"
